Course Number,Course Title,URL
16.00,Introduction to Aerospace Engineering and Design,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-00-introduction-to-aerospace-engineering-and-design-spring-2003
16.00AJ,"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",https://ocw.aprende.org/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009
16.01,"Unified Engineering I, II, III, & IV
		                               (Fall 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006
16.02,"Unified Engineering I, II, III, & IV
		                               (Fall 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006
16.03,"Unified Engineering I, II, III, & IV
		                               (Fall 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006
16.04,"Unified Engineering I, II, III, & IV
		                               (Fall 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006
16.050,Thermal Energy,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-050-thermal-energy-fall-2002
16.06,Principles of Automatic Control,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012
16.07,Dynamics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-07-dynamics-fall-2009
16.100,Aerodynamics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-100-aerodynamics-fall-2005
16.20,Structural Mechanics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-20-structural-mechanics-fall-2002
16.21,Techniques for Structural Analysis and Design,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-21-techniques-for-structural-analysis-and-design-spring-2005
16.30,"Feedback Control Systems
		                               (Fall 2010)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010
16.30,Estimation and Control of Aerospace Systems,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-30-estimation-and-control-of-aerospace-systems-spring-2004
16.36,Communication Systems Engineering,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-36-communication-systems-engineering-spring-2009
16.400,"Human Factors Engineering
		                               (Fall 2011)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011
16.410,"Principles of Autonomy and Decision Making
		                               (Fall 2010)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010
16.50,Introduction to Propulsion Systems,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-50-introduction-to-propulsion-systems-spring-2012
16.61,Aerospace Dynamics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-61-aerospace-dynamics-spring-2003
16.621,Experimental Projects I,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-621-experimental-projects-i-spring-2003
16.622,Experimental Projects II,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-622-experimental-projects-ii-fall-2003
16.63J,"System Safety
		                               (Fall 2012)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-63j-system-safety-fall-2012
16.652,Inventions and Patents,https://ocw.aprende.org/courses/electrical-engineering-and-computer-science/6-901-inventions-and-patents-fall-2005
16.653,Management in Engineering,https://ocw.aprende.org/courses/mechanical-engineering/2-96-management-in-engineering-fall-2012
16.660J,"Introduction to Lean Six Sigma Methods
		                               (January IAP 2012)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012
16.682,Technology in Transportation,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-682-technology-in-transportation-spring-2011
16.682,Prototyping Avionics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-682-prototyping-avionics-spring-2006
16.810,"Engineering Design and Rapid Prototyping
		                               (January IAP 2007)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-810-engineering-design-and-rapid-prototyping-january-iap-2007
16.810,"Engineering Design and Rapid Prototyping
		                               (January IAP 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-810-engineering-design-and-rapid-prototyping-january-iap-2005
16.812,The Aerospace Industry,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-812-the-aerospace-industry-spring-2004
16.83X,"Space Systems Engineering
		                               (Spring 2002)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-83x-space-systems-engineering-spring-2002-spring-2003
16.901,Computational Methods in Aerospace Engineering,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-901-computational-methods-in-aerospace-engineering-spring-2005
16.A47,The Engineer of 2020,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-a47-the-engineer-of-2020-fall-2009
Supplemental,Lean Enterprise en Espa̱ol,https://ocw.aprende.org/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012
16.120,Compressible Flow,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-120-compressible-flow-spring-2003
16.13,Aerodynamics of Viscous Fluids,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-13-aerodynamics-of-viscous-fluids-fall-2003
16.225,Computational Mechanics of Materials,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-225-computational-mechanics-of-materials-fall-2003
